Toys Name,Toys Descriptions,Toys Prices,Toys Source Links
"
                  Toy Forre Rabbit Brown S
              ","
Toy Forre Rabbit Brown
The HS FORRE Bunny is absolutely perfect for your lovely companion! This super soft plush toy features a squeaker and crinkle sound, allowing your dog to play and enjoy for hours on end. And the best part? No mess, as it has no stuffing! Specially designed for small dogs. 


Material: plush
With squeaker and crunching sound for extra fun
No stuffing inside
Size: 16cm L x 24cm W x 14cm H



","
        


  €9.50


      ",https://www.petstop.ie/collections/dog-toys/products/toy-forre-rabbit-brown
"
            Toy Forre Rabbit Brown S
        ","
Toy Forre Rabbit Brown
The HS FORRE Bunny is absolutely perfect for your lovely companion! This super soft plush toy features a squeaker and crinkle sound, allowing your dog to play and enjoy for hours on end. And the best part? No mess, as it has no stuffing! Specially designed for small dogs. 


Material: plush
With squeaker and crunching sound for extra fun
No stuffing inside
Size: 16cm L x 24cm W x 14cm H



","
        


  €9.50


      ",https://www.petstop.ie/collections/dog-toys/products/toy-forre-rabbit-brown
"
                  Nerf Dog - LED Nitro Blitz Football with Tail
              ","

Nerf Dog - LED Nitro Blitz Football with Tail
 
Spend hours of playtime with your pup and the Nerf Dog LED Nitro Blitz Football With Tail! Challenge them to a game of ""tug of war"", or let them play with other dogs. Perfect for tugging, chewing, and fun with fetch!
 

Tap to light up!
Innovative dog toy
Brightly coloured attractive dog toy
LED light-up dog toy
Made from durable high quality materials

Please NoteAll Nerf balls have been designed to withstand vigorous play but are not indestructible. It is advised that you examine the items for wear and tear and replace item when needed.
","
        


  €21.00


      ",https://www.petstop.ie/collections/dog-toys/products/nerf-dog-led-nitro-blitz-football-with-tail
"
            Nerf Dog - LED Nitro Blitz Football with Tail
        ","

Nerf Dog - LED Nitro Blitz Football with Tail
 
Spend hours of playtime with your pup and the Nerf Dog LED Nitro Blitz Football With Tail! Challenge them to a game of ""tug of war"", or let them play with other dogs. Perfect for tugging, chewing, and fun with fetch!
 

Tap to light up!
Innovative dog toy
Brightly coloured attractive dog toy
LED light-up dog toy
Made from durable high quality materials

Please NoteAll Nerf balls have been designed to withstand vigorous play but are not indestructible. It is advised that you examine the items for wear and tear and replace item when needed.
","
        


  €21.00


      ",https://www.petstop.ie/collections/dog-toys/products/nerf-dog-led-nitro-blitz-football-with-tail
"
                  Nerf Dog - Squeak Tennis Armor
              ","

Nerf Dog - Squeak Tennis Armor
NERF Dog squeak Armor tennis balls are the perfect companion for dogs. Great for playing fetch, chewing and supporting dental hygiene. Durable plastic stands up to extensive play. This pack of 3 tennis balls will have your furry friend playing for hours!
Stay in the game with the Nerf Armor tennis ball.  This tennis ball is wrapped in max strength Armor! Great for toss and fetch, or solo play sessions.

3 different styles - Spike and Studded
Size approximately 6cm (2.5"")
Max Strength tennis balls
Stud version can be used with most ball throwers
Sold individually

Please NoteAll Nerf balls have been designed to withstand vigorous play but are not indestructible. It is advised that you examine the items for wear and tear and replace item when needed.
","
        


  €20.00


      ",https://www.petstop.ie/collections/dog-toys/products/nerf-dog-squeak-tennis-armor
"
            Nerf Dog - Squeak Tennis Armor
        ","

Nerf Dog - Squeak Tennis Armor
NERF Dog squeak Armor tennis balls are the perfect companion for dogs. Great for playing fetch, chewing and supporting dental hygiene. Durable plastic stands up to extensive play. This pack of 3 tennis balls will have your furry friend playing for hours!
Stay in the game with the Nerf Armor tennis ball.  This tennis ball is wrapped in max strength Armor! Great for toss and fetch, or solo play sessions.

3 different styles - Spike and Studded
Size approximately 6cm (2.5"")
Max Strength tennis balls
Stud version can be used with most ball throwers
Sold individually

Please NoteAll Nerf balls have been designed to withstand vigorous play but are not indestructible. It is advised that you examine the items for wear and tear and replace item when needed.
","
        


  €20.00


      ",https://www.petstop.ie/collections/dog-toys/products/nerf-dog-squeak-tennis-armor
"
                  Stuffing Free Dog Toy - Forre Squirrel
              ","
Stuffing Free Dog Toy - Forre SquirrelForre Squirrel comes in two sizes, he is a stuffing free dog toy which makes him safer and less messy for heavy chewers. He also contains crinkle paper and an irresistible squeaker that make play time much more fun!
Additional Information

Material: plush
With squeaker and crunching sound for extra fun
No stuffing inside
Sizes:

Small - 11cm L x 34cm W x 7cm H
Large - 13.5cm L x 48cm W x 8.5cm H


*We are sure your dog will love this dog toy but please remember that no dog toy is indestructible and every dog interacts with their toys differently. We strongly recommend supervised play, regular inspections of the toys and removal of any damaged toys.
",€9.50,https://www.petstop.ie/collections/dog-toys/products/stuffing-free-dog-toy-forre-squirrel
"
            Stuffing Free Dog Toy - Forre Squirrel
        ","
Stuffing Free Dog Toy - Forre SquirrelForre Squirrel comes in two sizes, he is a stuffing free dog toy which makes him safer and less messy for heavy chewers. He also contains crinkle paper and an irresistible squeaker that make play time much more fun!
Additional Information

Material: plush
With squeaker and crunching sound for extra fun
No stuffing inside
Sizes:

Small - 11cm L x 34cm W x 7cm H
Large - 13.5cm L x 48cm W x 8.5cm H


*We are sure your dog will love this dog toy but please remember that no dog toy is indestructible and every dog interacts with their toys differently. We strongly recommend supervised play, regular inspections of the toys and removal of any damaged toys.
",€9.50,https://www.petstop.ie/collections/dog-toys/products/stuffing-free-dog-toy-forre-squirrel
"
                  Stuffing Free Dog Toy - Forre Rabbit
              ","
Stuffing Free Dog Toy - Forre RabbitForre Rabbit comes in two sizes, he is a stuffing free dog toy which makes him safer and less messy for heavy chewers. He also contains crinkle paper and an irresistible squeaker that make play time much more fun!
Additional Information

Material: plush
With squeaker and crunching sound for extra fun
No stuffing inside
Sizes:

21cm L x 33cm W x 12.5cm H


*We are sure your dog will love this dog toy but please remember that no dog toy is indestructible and every dog interacts with their toys differently. We strongly recommend supervised play, regular inspections of the toys and removal of any damaged toys.
","
        


  €14.00


      ",https://www.petstop.ie/collections/dog-toys/products/stuffing-free-dog-toy-forre-rabbit
"
            Stuffing Free Dog Toy - Forre Rabbit
        ","
Stuffing Free Dog Toy - Forre RabbitForre Rabbit comes in two sizes, he is a stuffing free dog toy which makes him safer and less messy for heavy chewers. He also contains crinkle paper and an irresistible squeaker that make play time much more fun!
Additional Information

Material: plush
With squeaker and crunching sound for extra fun
No stuffing inside
Sizes:

21cm L x 33cm W x 12.5cm H


*We are sure your dog will love this dog toy but please remember that no dog toy is indestructible and every dog interacts with their toys differently. We strongly recommend supervised play, regular inspections of the toys and removal of any damaged toys.
","
        


  €14.00


      ",https://www.petstop.ie/collections/dog-toys/products/stuffing-free-dog-toy-forre-rabbit
"
                  Stuffing Free Dog Toy - Forre Weasel
              ","
Stuffing Free Dog Toy - Forre Weasel
Forre Weasel comes in two sizes, he is a stuffing free dog toy which makes him safer and less messy for heavy chewers. He also contains crinkle paper and an irresistible squeaker that make play time much more fun!
Additional Information

Material: plush
With squeaker and crunching sound for extra fun
No stuffing inside
Sizes:

Small - 11cm L x 37cm W x 7cm H
Large - 15cm L x 47cm W x 10.5cm H


*We are sure your dog will love this dog toy but please remember that no dog toy is indestructible and every dog interacts with their toys differently. We strongly recommend supervised play, regular inspections of the toys and removal of any damaged toys.
",€9.50,https://www.petstop.ie/collections/dog-toys/products/stuffing-free-dog-toy-forre-weasel
"
            Stuffing Free Dog Toy - Forre Weasel
        ","
Stuffing Free Dog Toy - Forre Weasel
Forre Weasel comes in two sizes, he is a stuffing free dog toy which makes him safer and less messy for heavy chewers. He also contains crinkle paper and an irresistible squeaker that make play time much more fun!
Additional Information

Material: plush
With squeaker and crunching sound for extra fun
No stuffing inside
Sizes:

Small - 11cm L x 37cm W x 7cm H
Large - 15cm L x 47cm W x 10.5cm H


*We are sure your dog will love this dog toy but please remember that no dog toy is indestructible and every dog interacts with their toys differently. We strongly recommend supervised play, regular inspections of the toys and removal of any damaged toys.
",€9.50,https://www.petstop.ie/collections/dog-toys/products/stuffing-free-dog-toy-forre-weasel
"
                  Kong - Senior
              ","
Kong - SeniorIntroduce your canine to the world of fun with KONG dog toys. Crafted to fulfill natural instincts, these toys foster bonds between pets and parents, offering mental and physical engagement.Specifically tailored for senior dogs, the KONG Senior dog toy boasts a unique all-natural rubber formula, gentle on mature teeth and gums. Its erratic bounce suits older dogs still embracing playfulness. Enhance the experience by stuffing with treats like kibble, peanut butter, KONG Snacks, and Easy Treat. For extended amusement, freeze it.Sizes:

Small - Height 3"", Width1.6"" (Height 7.5cm, Width 4.5cm), for dogs up to 9kg
Medium - Height 3.5"", Width 2.2"" (Height 9cm, Width 5.5cm), for dogs 7-16kg
Large - Height 4.1"", Width 2.7"" (Height 10.5cm, Width 7cm), for dogs 13-30kg

*Always monitor playtime, considering your pet's size and preferences. No toy is indestructible. Warning: Choking hazard. Supervise play, replace damaged toys, and seek veterinary help if ingested. Responsible ownership ensures pet well-being. Not for children. Learn more about safe play with your dog.
",€9.50,https://www.petstop.ie/collections/dog-toys/products/kong-senior
"
            Kong - Senior
        ","
Kong - SeniorIntroduce your canine to the world of fun with KONG dog toys. Crafted to fulfill natural instincts, these toys foster bonds between pets and parents, offering mental and physical engagement.Specifically tailored for senior dogs, the KONG Senior dog toy boasts a unique all-natural rubber formula, gentle on mature teeth and gums. Its erratic bounce suits older dogs still embracing playfulness. Enhance the experience by stuffing with treats like kibble, peanut butter, KONG Snacks, and Easy Treat. For extended amusement, freeze it.Sizes:

Small - Height 3"", Width1.6"" (Height 7.5cm, Width 4.5cm), for dogs up to 9kg
Medium - Height 3.5"", Width 2.2"" (Height 9cm, Width 5.5cm), for dogs 7-16kg
Large - Height 4.1"", Width 2.7"" (Height 10.5cm, Width 7cm), for dogs 13-30kg

*Always monitor playtime, considering your pet's size and preferences. No toy is indestructible. Warning: Choking hazard. Supervise play, replace damaged toys, and seek veterinary help if ingested. Responsible ownership ensures pet well-being. Not for children. Learn more about safe play with your dog.
",€9.50,https://www.petstop.ie/collections/dog-toys/products/kong-senior
